,id,Name1,Name2,Distance,label
177,C1071-M39,天星小轮,幻彩咏香江灯光秀,100.79666780441848,0
178,C60-M135,鲤鱼门天后庙,林村许愿树,100.820195649717,0
179,C874-M135,天后古庙,林村许愿树,100.820195649717,0
180,C965-M205,大館（前中区警署建築群）,中环摆花街,103.27730532323636,0
181,C449-M32,康达径花园,香港科学馆,103.28827427683743,0
182,C265-M13,卢吉飞瀑,香港杜莎夫人蜡像馆,103.43636693048144,0
183,C265-M21,卢吉飞瀑,山顶凌霄阁,103.43636693048144,0
184,C45-M198,Che Pau Teng - Rhino Rock,赤柱旧警署,103.9853198184449,0
185,C447-M198,赤柱市场道休憩处,赤柱旧警署,103.9853198184449,0
186,C804-M198,龜背灣泳灘,赤柱旧警署,103.9853198184449,0
187,C466-M85,皇后像广场和平纪念碑,香港立法会大楼,104.18404496071192,0
188,C634-M85,遮打花园,香港立法会大楼,104.18404496071192,0
189,C166-M130,Rosie Jean's Cafe,文武庙,104.58881546928912,0
190,C48-M97,Hug and Home,香港轩尼诗道,105.46275192823921,0
191,C851-M58,艺穗会,都爹利街石阶及煤气灯,105.70511268921832,0
192,C471-M130,两依藏博物馆,文武庙,106.00632571430425,0
193,C755-M98,赤柱马坑公园,赤柱美利楼,106.04191459635061,0
194,C822-M63,百姓庙济公圣佛,荷李活道,106.20329398109759,0
195,C822-M65,百姓庙济公圣佛,砵甸乍街,106.20329398109759,0
196,C822-M160,百姓庙济公圣佛,楼梯街,106.20329398109759,0
197,C822-M204,百姓庙济公圣佛,荷李活道公园,106.20329398109759,0
198,C675-M76,尤德观鸟园,香港公园,106.84158383953907,0
199,C449-M41,康达径花园,香港历史博物馆,107.38509022028572,0
